0.061,0.05,3.62,3.62,0.22,0.78
0.061,0.05,3.62,3.62,0.22,0.78
0.062,0.05,3.62,3.62,0.22,0.78
0.062,0.05,3.62,3.62,0.22,0.78
0.063,0.05,3.62,3.62,0.22,0.78
0.063,0.05,3.62,3.62,0.22,0.78
0.064,0.05,3.62,3.62,0.22,0.78
0.064,0.05,3.62,3.62,0.22,0.78
0.065,0.05,3.62,3.62,0.22,0.78
0.065,0.05,3.62,3.62,0.22,0.78
0.066,0.05,3.62,3.62,0.22,0.78
0.066,0.05,3.62,3.62,0.22,0.78
0.067,0.2,3.61,3.61,0.85,3.04
0.067,0.2,3.61,3.61,0.85,3.04
0.067,0.2,3.61,3.61,0.85,3.04
0.068,0.2,3.61,3.61,0.85,3.04
0.068,0.2,3.61,3.61,0.85,3.04
0.069,0.2,3.61,3.61,0.85,3.04
0.069,0.2,3.61,3.61,0.85,3.04
0.07,0.24,3.61,3.61,1.01,3.62
0.07,0.24,3.61,3.61,1.01,3.62
0.071,0.24,3.61,3.61,1.01,3.62
0.071,0.24,3.61,3.61,1.01,3.62
0.071,0.24,3.61,3.61,1.01,3.62
0.072,0.24,3.61,3.61,1.01,3.62
0.072,0.24,3.61,3.61,1.01,3.62
0.073,0.24,3.61,3.61,1.01,0.8
0.073,0.05,3.62,3.62,0.23,0.8
0.074,0.05,3.62,3.62,0.23,0.8
0.074,0.05,3.62,3.62,0.23,0.8
0.075,0.05,3.62,3.62,0.23,0.8
0.075,0.05,3.62,3.62,0.23,0.8
0.075,0.05,3.62,3.62,0.23,0.8
0.076,0.05,3.62,3.62,0.23,0.8
0.076,0.05,3.62,3.62,0.22,0.78
0.077,0.05,3.62,3.62,0.22,0.78
0.077,0.05,3.62,3.62,0.22,0.78
0.078,0.05,3.62,3.62,0.22,0.78
0.078,0.05,3.62,3.62,0.22,0.78
0.079,0.05,3.62,3.62,0.22,0.78
0.079,0.05,3.62,3.62,0.22,0.78
0.079,0.05,3.62,3.62,0.22,0.78
0.08,0.05,3.62,3.62,0.22,0.78
0.08,0.05,3.62,3.62,0.22,0.78
0.081,0.05,3.62,3.62,0.22,0.78
0.081,0.05,3.62,3.62,0.22,0.78
0.082,0.05,3.62,3.62,0.22,0.78
0.083,0.05,3.62,3.62,0.22,0.78
0.083,0.05,3.62,3.62,0.22,0.78
0.083,0.05,3.62,3.62,0.22,0.78
0.084,0.05,3.62,3.62,0.22,0.78
0.084,0.05,3.62,3.62,0.22,0.78
0.085,0.05,3.62,3.62,0.22,0.78
0.085,0.05,3.62,3.62,0.22,0.78
0.086,0.05,3.62,3.62,0.22,0.78
0.086,0.05,3.62,3.62,0.22,0.78
0.087,0.05,3.62,3.62,0.22,0.78
0.087,0.05,3.62,3.62,0.22,0.78
0.087,0.05,3.62,3.62,0.22,0.78
0.088,0.05,3.62,3.62,0.22,0.78
0.088,0.05,3.62,3.62,0.22,0.78
0.089,0.05,3.62,3.62,0.22,0.78
0.089,0.05,3.62,3.62,0.22,0.78
0.09,0.05,3.62,3.62,0.22,0.78
0.09,0.05,3.62,3.62,0.22,0.78
0.09,0.05,3.62,3.62,0.22,0.78
0.091,0.05,3.62,3.62,0.22,0.78
0.091,0.05,3.62,3.62,0.22,0.78
0.092,0.05,3.62,3.62,0.22,0.78
0.092,0.05,3.62,3.62,0.22,0.78
0.093,0.05,3.62,3.62,0.22,0.78
0.093,0.05,3.62,3.62,0.22,0.78
0.094,0.16,3.61,3.61,0.66,2.36
0.094,0.16,3.61,3.61,0.66,2.36
0.095,0.16,3.61,3.61,0.66,2.36
0.095,0.16,3.61,3.61,0.66,2.36
0.095,0.16,3.61,3.61,0.66,2.36
0.096,0.16,3.61,3.61,0.66,2.36
0.096,0.16,3.61,3.61,0.66,2.36
0.097,0.27,3.61,3.61,1.11,3.96
0.097,0.27,3.61,3.61,1.11,3.96
0.098,0.27,3.61,3.61,1.11,3.96
0.098,0.27,3.61,3.61,1.11,3.96
0.099,0.27,3.61,3.61,1.11,3.96
0.099,0.27,3.61,3.61,1.11,3.96
0.1,0.27,3.61,3.61,1.11,3.96
0.1,0.27,3.61,3.61,1.11,3.96
0.101,0.05,3.62,3.62,0.22,0.78
0.101,0.05,3.62,3.62,0.22,0.78
0.101,0.05,3.62,3.62,0.22,0.78
0.102,0.05,3.62,3.62,0.22,0.78
0.102,0.05,3.62,3.62,0.22,0.78
0.103,0.05,3.62,3.62,0.22,0.78
0.103,0.05,3.62,3.62,0.22,0.78
0.104,0.05,3.62,3.62,0.22,0.78
0.104,0.05,3.62,3.62,0.22,0.78
0.105,0.05,3.62,3.62,0.22,0.78
0.105,0.05,3.62,3.62,0.22,0.78
0.105,0.05,3.62,3.62,0.22,0.78
0.106,0.05,3.62,3.62,0.22,0.78
0.106,0.05,3.62,3.62,0.22,0.78
0.107,0.05,3.62,3.62,0.22,0.78
0.107,0.05,3.62,3.62,0.22,0.78
0.108,0.05,3.62,3.62,0.22,0.78
0.108,0.05,3.62,3.62,0.22,0.78
0.109,0.05,3.62,3.62,0.22,0.78
0.109,0.05,3.62,3.62,0.22,0.78
0.109,0.05,3.62,3.62,0.22,0.78
0.11,0.05,3.62,3.62,0.22,0.78
0.11,0.05,3.62,3.62,0.22,0.78
0.111,0.05,3.62,3.62,0.22,0.78
0.111,0.05,3.62,3.62,0.22,0.78
0.112,0.05,3.62,3.62,0.22,0.78
0.112,0.05,3.62,3.62,0.22,0.78
0.113,0.05,3.62,3.62,0.22,0.78
0.113,0.05,3.62,3.62,0.22,0.78
0.113,0.05,3.62,3.62,0.22,0.78
0.114,0.05,3.62,3.62,0.22,0.78
0.115,0.05,3.62,3.62,0.22,0.78
0.115,0.05,3.62,3.62,0.22,0.78
0.116,0.05,3.62,3.62,0.22,0.78
0.116,0.05,3.62,3.62,0.22,0.78
0.117,0.05,3.62,3.62,0.22,0.78
0.117,0.05,3.62,3.62,0.22,0.78
0.117,0.05,3.62,3.62,0.22,0.78
0.118,0.05,3.62,3.62,0.22,0.78
0.118,0.05,3.62,3.62,0.22,0.78
0.119,0.05,3.62,3.62,0.22,0.78
0.119,0.05,3.62,3.62,0.22,0.78
0.12,0.05,3.62,3.62,0.22,0.78
